,time_zone,name,coordinates,code,country_code
5086,America/Sao_Paulo,Livramento,"{'lon': -55.61667, 'lat': -30.833332}",LVB,BR
5087,America/Sao_Paulo,Cana Brava,"{'lon': -45.86667, 'lat': -17.383333}",NBV,BR
5088,Europe/Berlin,Sassnitz,,ZSI,DE
5089,Africa/Libreville,Libreville,"{'lon': 9.409852, 'lat': 0.456963}",LBV,GA
5090,America/Bogota,Monte Libano,"{'lon': -75.46667, 'lat': 8.066667}",MTB,CO
5091,Africa/Blantyre,Likoma Island,"{'lon': 34.733334, 'lat': -12.083333}",LIX,MW
5092,Africa/Luanda,Sumbe,"{'lon': 13.866667, 'lat': -11.166667}",NDD,AO
5093,America/Sao_Paulo,Anapolis,"{'lon': -48.966667, 'lat': -16.333332}",APS,BR
5094,Africa/Addis_Ababa,Mizan Teferi,"{'lon': 35.533333, 'lat': 6.966667}",MTF,ET
5095,Asia/Yekaterinburg,Nefteyugansk,"{'lon': 73.05, 'lat': 61.13333}",NFG,RU
5096,America/Chicago,Manitowoc,"{'lon': -87.68222, 'lat': 44.129723}",MTW,US
5097,America/Anchorage,Talkeetna,"{'lon': -150.09, 'lat': 62.322224}",TKA,US
5098,America/Porto_Velho,Guajara-Mirim,"{'lon': -65.36667, 'lat': -10.783333}",GJM,BR
5099,Europe/Athens,Limnos,"{'lon': 25.233446, 'lat': 39.923904}",LXS,GR
5100,Europe/London,Northampton,"{'lon': -0.9, 'lat': 52.233334}",ORM,GB
5101,America/Jamaica,Negril,"{'lon': -78.333336, 'lat': 18.308332}",NEG,JM
5102,Africa/Gaborone,Maun,"{'lon': 23.430555, 'lat': -19.970833}",MUB,BW
5103,Australia/Sydney,Orange,"{'lon': 149.12447, 'lat': -33.3816}",OAG,AU
5104,America/Anchorage,Tenakee Springs,"{'lon': -135.21666, 'lat': 57.783333}",TKE,US
5105,Pacific/Port_Moresby,Gonalia,"{'lon': 151.85, 'lat': -5.366667}",GOE,PG
5106,Australia/Brisbane,Windorah,"{'lon': 142.66667, 'lat': -25.416668}",WNR,AU
5107,Australia/Brisbane,Caloundra,"{'lon': 153.15, 'lat': -26.8}",CUD,AU
5108,Asia/Taipei,Nangan,"{'lon': 119.958336, 'lat': 26.159445}",LZN,TW
5109,Arctic/Longyearbyen,Longyearbyen,"{'lon': 15.8, 'lat': 78.208885}",LYR,SJ
5110,America/Nassau,Mangrove Cay,"{'lon': -77.680275, 'lat': 24.289722}",MAY,BS
5111,Africa/Khartoum,New Halfa,"{'lon': 35.733334, 'lat': 15.35}",NHF,SD
5112,America/Sao_Paulo,Pirapora,"{'lon': -44.93222, 'lat': -17.338612}",PIV,BR
5113,Pacific/Tarawa,Nikunau,"{'lon': 176.41667, 'lat': -1.333333}",NIG,KI
5114,Africa/Kinshasa,Luozi,"{'lon': 14.0, 'lat': -4.9}",LZI,CD
5115,Europe/Paris,Valence,"{'lon': 4.89236, 'lat': 44.933393}",VAF,FR
5116,Asia/Ho_Chi_Minh,Dalat,"{'lon': 108.37603, 'lat': 11.749689}",DLI,VN
5117,Asia/Karachi,Multan,"{'lon': 71.41498, 'lat': 30.199507}",MUX,PK
5118,Asia/Kolkata,Chennai,"{'lon': 80.16378, 'lat': 12.982267}",MAA,IN
5119,Africa/Dar_es_Salaam,Musoma,"{'lon': 33.8, 'lat': -1.497222}",MUZ,TZ
5120,America/New_York,Mansfield,"{'lon': -82.51278, 'lat': 40.82}",MFD,US
5121,Asia/Yekaterinburg,Sovetsky,"{'lon': 63.601887, 'lat': 61.33209}",OVS,RU
5122,Asia/Shanghai,Nanjing,"{'lon': 118.86652, 'lat': 31.735737}",NKG,CN
5123,America/Shiprock,Kayenta,"{'lon': -110.23333, 'lat': 36.702778}",MVM,US
5124,America/Anchorage,Big Lake,"{'lon': -101.46667, 'lat': 31.2}",BGQ,US
5125,America/New_York,Oxford,"{'lon': -73.13639, 'lat': 41.479168}",OXC,US
5126,Africa/Gaborone,Ghanzi,"{'lon': 21.666668, 'lat': -21.7}",GNZ,BW
5127,Pacific/Tahiti,Takaroa,"{'lon': -145.0264, 'lat': -14.457749}",TKX,PF
5128,Africa/Libreville,Minvoul,"{'lon': 12.133333, 'lat': 2.15}",MVX,GA
5129,Africa/Douala,Ngaoundéré,"{'lon': 13.561389, 'lat': 7.356389}",NGE,CM
5130,America/Anchorage,Teller,"{'lon': -166.355, 'lat': 65.27167}",TLA,US
5131,America/Chicago,Marion,"{'lon': -89.01639, 'lat': 37.751945}",MWA,US
5132,Africa/Brazzaville,Makabana,"{'lon': 12.616667, 'lat': -3.483333}",KMK,CG
5133,Asia/Rangoon,Namsang,"{'lon': 97.75, 'lat': 20.883333}",NMS,MM
5134,Africa/Maseru,Thaba-Tseka,"{'lon': 29.5, 'lat': -28.833332}",THB,LS
5135,Europe/Athens,"Naxos, Cyclades Islands","{'lon': 25.383333, 'lat': 37.1}",JNX,GR
5136,America/Detroit,Manistee,"{'lon': -86.253334, 'lat': 44.273888}",MBL,US
5137,America/Araguaina,Gurupi,"{'lon': -49.216667, 'lat': -11.666667}",GRP,BR
5138,America/New_York,Middletown,"{'lon': -84.4, 'lat': 39.516666}",MWO,US
5139,America/Belem,Ourilandia,"{'lon': -51.049, 'lat': -6.761303}",OIA,BR
5140,America/Anchorage,Oceanic,"{'lon': -147.86667, 'lat': 60.25}",OCI,US
5141,Asia/Rangoon,Magwe,"{'lon': 94.94111, 'lat': 20.166668}",MWQ,MM
5142,America/Tegucigalpa,Palacios,"{'lon': -89.0, 'lat': 15.0}",PCH,HN
5143,Pacific/Port_Moresby,Mussau,"{'lon': 149.66667, 'lat': -1.5}",MWU,PG
5144,Australia/Perth,Theda,"{'lon': 126.51667, 'lat': -14.75}",TDN,AU
5145,Australia/Brisbane,Daydream Island,"{'lon': 148.81667, 'lat': -20.266666}",DDI,AU
5146,Africa/Windhoek,Swakopmund,"{'lon': 14.52784, 'lat': -22.674101}",SWP,NA
5147,Europe/Paris,Toulon,"{'lon': 6.128639, 'lat': 43.120541}",TLN,FR
5148,Pacific/Efate,Futuna Island,"{'lon': 170.25, 'lat': -19.416668}",FTA,VU
5149,Europe/Moscow,Novgorod,"{'lon': 31.3, 'lat': 58.516666}",NVR,RU
5150,Europe/Moscow,Novorossijsk,"{'lon': 37.766666, 'lat': 44.716667}",NOI,RU
5151,Africa/Conakry,Macenta,"{'lon': -9.466667, 'lat': 8.55}",MCA,GN
5152,America/Nassau,Mayaguana,"{'lon': -73.01833, 'lat': 22.376667}",MYG,BS
5153,Pacific/Port_Moresby,Naoro,"{'lon': 147.53334, 'lat': -9.2}",NOO,PG
5154,America/Toronto,St Marys,,XIO,CA
5155,America/Menominee,Iron Mountain,"{'lon': -88.11417, 'lat': 45.815556}",IMT,US
5156,Europe/Budapest,Miskolc,"{'lon': 20.833332, 'lat': 48.11667}",MCQ,HU
5157,Africa/Maputo,Tete,"{'lon': 33.63889, 'lat': -16.103333}",TET,MZ
5158,America/New_York,Myrtle Beach,"{'lon': -78.8866943, 'lat': 33.6890603}",MYR,US
5159,Africa/Brazzaville,Owando,"{'lon': 16.008333, 'lat': -0.983333}",FTX,CG
5160,America/Los_Angeles,Half Moon,"{'lon': -122.433334, 'lat': 37.466667}",HAF,US
5161,America/La_Paz,San Ignacio De Velasco,"{'lon': -60.97639, 'lat': -16.383057}",SNG,BO
5162,Atlantic/Azores,Terceira,"{'lon': -27.08757, 'lat': 38.754074}",TER,PT
5163,America/Los_Angeles,Medford,"{'lon': -122.87312, 'lat': 42.369026}",MFR,US
5164,America/Sao_Paulo,Niquelandia,"{'lon': -48.983334, 'lat': -14.0}",NQL,BR
5165,America/Denver,Dugway,"{'lon': -112.75, 'lat': 40.233334}",DPG,US
5166,Asia/Rangoon,Myitkyina,"{'lon': 97.29889, 'lat': 25.354168}",MYT,MM
5167,Pacific/Port_Moresby,Pambwa,"{'lon': 154.03334, 'lat': -11.416667}",PAW,PG
5168,Australia/Perth,Ord River,"{'lon': 128.8, 'lat': -17.5}",ODR,AU
5169,America/Indiana/Indianapolis,Marion,"{'lon': -85.67944, 'lat': 40.490833}",MZZ,US
5170,Pacific/Tahiti,Hikueru,"{'lon': -142.53334, 'lat': -17.533333}",HHZ,PF
5171,America/Anchorage,Middleton Island,"{'lon': -146.3, 'lat': 59.453056}",MDO,US
5172,America/Caracas,La Guaira,"{'lon': -66.933334, 'lat': 10.6}",LAG,VE
5173,America/New_York,Plattsburgh,"{'lon': -73.48333, 'lat': 44.7}",PBG,US
5174,Europe/London,Stirling,,XWB,GB
5175,Asia/Kolkata,Nagpur,"{'lon': 79.05636, 'lat': 21.090036}",NAG,IN
5176,Europe/Istanbul,Gazipasa,"{'lon': 32.3014, 'lat': 36.2993}",GZP,TR
5177,Pacific/Port_Moresby,Hawabango,"{'lon': 145.96666, 'lat': -7.433333}",HWA,PG
5178,Asia/Jerusalem,Tel Aviv-Yafo,"{'lon': 34.870743, 'lat': 32.000454}",TLV,IL
5179,Pacific/Honolulu,Kapolei,"{'lon': -158.11667, 'lat': 21.3}",NAX,US
5180,America/Guyana,Annai,"{'lon': -59.0, 'lat': 3.75}",NAI,GY
5181,Africa/Nairobi,Nairobi,"{'lon': 36.8166667, 'lat': -1.2833333}",NBO,KE
5182,Pacific/Port_Moresby,Namudi,"{'lon': 148.26666, 'lat': -9.433333}",NDI,PG
5183,Europe/London,Newcastle,"{'lon': -1.710629, 'lat': 55.037064}",NCL,GB
5184,America/Belem,Sao Felix Do Xingu,"{'lon': -51.983334, 'lat': -6.633333}",SXX,BR
5185,America/Denver,Sheridan,"{'lon': -106.97722, 'lat': 44.774166}",SHR,US
5186,Asia/Tehran,Bandar Lengeh,"{'lon': 54.829147, 'lat': 26.529486}",BDH,IR
5187,America/Paramaribo,Nieuw Nickerie,"{'lon': -56.983334, 'lat': 5.933333}",ICK,SR
5188,Pacific/Port_Moresby,Kapal,"{'lon': 142.82445, 'lat': -8.633056}",KPL,PG
5189,Australia/Melbourne,Shepparton,"{'lon': 145.43333, 'lat': -36.38333}",SHT,AU
5190,Asia/Samarkand,Navoi,"{'lon': 65.159164, 'lat': 40.115}",NVI,UZ
5191,America/Argentina/Buenos_Aires,Mar Del Plata,"{'lon': -57.572224, 'lat': -37.934723}",MDQ,AR
5192,Africa/Maputo,Chokwe,"{'lon': 32.416668, 'lat': -24.616667}",TGS,MZ
5193,America/Guayaquil,Jipijapa,"{'lon': -80.666664, 'lat': -1.0}",JIP,EC
5194,Asia/Kolkata,Deparizo,"{'lon': 94.0, 'lat': 27.35}",DEP,IN
5195,America/Godthab,Qasigiannguit,"{'lon': -51.20133, 'lat': 68.81515}",JCH,GL
5196,America/Anchorage,Medfra,"{'lon': -154.71666, 'lat': 63.106945}",MDR,US
5197,America/Chicago,Versailles,"{'lon': -92.85, 'lat': 38.433334}",VRS,US
5198,Europe/London,Lydd,"{'lon': 0.933333, 'lat': 50.95}",LYX,GB
5199,America/Denver,Greeley,"{'lon': -104.7, 'lat': 40.416668}",GXY,US
5200,Asia/Yakutsk,Neryungri,"{'lon': 124.6, 'lat': 56.65}",NER,RU
5201,Europe/Dublin,Knock,"{'lon': -8.810468, 'lat': 53.914}",NOC,IE
5202,Asia/Shanghai,Tianshui,"{'lon': 105.86501, 'lat': 34.556236}",THQ,CN
5203,Europe/Brussels,Zoersel,"{'lon': 4.75, 'lat': 51.266666}",OBL,BE
5204,Europe/Berlin,Ulm,,QUL,DE
5205,Africa/Gaborone,Jwaneng,"{'lon': 24.666668, 'lat': -24.6}",JWA,BW
5206,America/Montevideo,Montevideo,"{'lon': -56.1819444, 'lat': -34.8836111}",MVD,UY
5207,Europe/Warsaw,Szymany,"{'lon': 20.938334, 'lat': 52.43611}",SZY,PL
5208,Europe/London,Hoy Island,"{'lon': -3.3, 'lat': 58.833332}",HOY,GB
5209,America/Guatemala,Quiche,"{'lon': -91.15, 'lat': 15.01}",AQB,GT
5210,America/Paramaribo,Kasikasima,"{'lon': -55.716667, 'lat': 3.15}",KCB,SR
5211,America/Sitka,Coffman Cove,"{'lon': -132.83333, 'lat': 55.983334}",KCC,US
5212,Asia/Jayapura,Obano,"{'lon': 136.2, 'lat': -3.9}",OBD,ID
5213,America/Sao_Paulo,Macae,"{'lon': -41.8, 'lat': -22.35}",MEA,BR
5214,Europe/Berlin,Wittenberge,"{'lon': 11.75, 'lat': 53.0}",ZWN,DE
5215,America/Bogota,Tame,"{'lon': -71.76667, 'lat': 6.5}",TME,CO
5216,America/Los_Angeles,Yucca Flat,"{'lon': -116.05, 'lat': 37.0}",UCC,US
5217,Australia/Adelaide,Marla,"{'lon': 135.0, 'lat': -27.0}",MRP,AU
5218,Australia/Brisbane,Moreton,"{'lon': 142.76666, 'lat': -12.75}",MET,AU
5219,America/Bogota,Paratebueno,"{'lon': -73.2, 'lat': 4.38}",EUO,CO
5220,Asia/Yekaterinburg,Urengoy,,UEN,RU
5221,Africa/Luanda,Melanje,"{'lon': 16.333332, 'lat': -9.533333}",MEG,AO
5222,Asia/Irkutsk,Ulan-Ude,"{'lon': 107.5, 'lat': 51.833332}",UUD,RU
5223,Asia/Kathmandu,Meghauli,"{'lon': 84.23139, 'lat': 27.57639}",MEY,NP
5224,Pacific/Port_Moresby,Morobe,"{'lon': 147.6, 'lat': -7.75}",OBM,PG
5225,Africa/Johannesburg,Messina,"{'lon': 29.833332, 'lat': -22.366667}",MEZ,ZA
5226,Asia/Bangkok,Koh Samui,"{'lon': 100.0628, 'lat': 9.555315}",USM,TH
5227,Pacific/Port_Moresby,Obo,"{'lon': 141.31667, 'lat': -7.583333}",OBX,PG
5228,America/New_York,Ocean Reef,"{'lon': -80.27472, 'lat': 25.325277}",OCA,US
5229,America/Bogota,Santa Ana,"{'lon': -74.583336, 'lat': 9.316667}",SQB,CO
5230,America/Los_Angeles,Mesquite,"{'lon': -114.05861, 'lat': 36.83611}",MFH,US
5231,Africa/Luanda,Huambo,"{'lon': 15.757222, 'lat': -12.805556}",NOV,AO
5232,America/Sao_Paulo,Pocos De Caldas,"{'lon': -46.5675, 'lat': -21.841389}",POO,BR
5233,America/Anchorage,Niblack,"{'lon': -132.15, 'lat': 55.066666}",NIE,US
5234,Asia/Novosibirsk,Strezhevoy,"{'lon': 77.0, 'lat': 60.5}",SWT,RU
5235,Australia/Brisbane,Mount Full Stop,"{'lon': 144.9, 'lat': -19.666668}",MFL,AU
5236,America/New_York,Washington,"{'lon': -77.05, 'lat': 35.55}",OCW,US
5237,Asia/Bangkok,Hat Yai,"{'lon': 100.39356, 'lat': 6.936764}",HDY,TH
5238,Africa/Libreville,Iguela,"{'lon': 9.316667, 'lat': -1.916667}",IGE,GA
5239,Asia/Tokyo,Iejima,"{'lon': 127.8, 'lat': 26.733334}",IEJ,JP
5240,Pacific/Port_Moresby,Silur,"{'lon': 153.05, 'lat': -4.533333}",SWR,PG
5241,America/Chicago,Beeville,"{'lon': -97.75, 'lat': 28.4}",NIR,US
5242,Africa/Casablanca,Nador,"{'lon': -3.028333, 'lat': 34.988888}",NDR,MA
5243,Australia/Darwin,Roper Bar,"{'lon': 134.73334, 'lat': -14.733333}",RPB,AU
5244,America/Panama,Mulatupo,"{'lon': -77.86667, 'lat': 9.0}",MPP,PA
5245,Africa/Luanda,Capanda,"{'lon': 15.450278, 'lat': -9.766944}",KNP,AO
5246,Australia/Brisbane,Edward River,"{'lon': 141.61667, 'lat': -14.9}",EDR,AU
5247,America/Bogota,Gamarra,"{'lon': -73.7, 'lat': 8.333333}",GRA,CO
5248,America/Chicago,Grantsburg,"{'lon': -92.683334, 'lat': 45.783333}",GTG,US
5249,Europe/London,Shoreham By Sea,"{'lon': -0.3, 'lat': 50.833332}",ESH,GB
5250,America/Anchorage,Perryville,"{'lon': -159.145, 'lat': 55.906666}",KPV,US
5251,America/New_York,Newport,"{'lon': -72.166664, 'lat': 43.36667}",NWH,US
5252,Europe/Istanbul,Zonguldak,"{'lon': 32.1, 'lat': 41.516666}",ONQ,TR
5253,America/Los_Angeles,Lemoore,"{'lon': -119.76667, 'lat': 36.3}",NLC,US
5254,America/Belem,Serra Pelada,"{'lon': -49.65, 'lat': -5.95}",RSG,BR
5255,Europe/Stockholm,Kramfors,"{'lon': 17.772778, 'lat': 63.049442}",KRF,SE
5256,America/Denver,Ogallala,"{'lon': -101.71667, 'lat': 41.13333}",OGA,US
5257,Europe/Stockholm,Varberg,,XWV,SE
5258,Asia/Tashkent,Namangan,"{'lon': 71.6, 'lat': 40.983334}",NMA,UZ
5259,America/Paramaribo,Moengo,"{'lon': -54.333332, 'lat': 5.75}",MOJ,SR
5260,Africa/Dar_es_Salaam,Mbeya,"{'lon': 33.461945, 'lat': -8.914722}",MBI,TZ
5261,America/Los_Angeles,Eureka,"{'lon': -124.115, 'lat': 40.805}",EKA,US
5262,America/Yellowknife,Aklavik,"{'lon': -134.98584, 'lat': 68.22222}",LAK,CA
5263,America/Managua,Managua,"{'lon': -86.171265, 'lat': 12.144838}",MGA,NI
5264,Pacific/Noumea,Hienghene,"{'lon': 164.9, 'lat': -20.666668}",HNG,NC
5265,America/New_York,Marietta,"{'lon': -84.51667, 'lat': 33.916668}",MGE,US
5266,America/Costa_Rica,Nosara Beach,"{'lon': -85.65305, 'lat': 9.976398}",NOB,CR
5267,Australia/Brisbane,Yorke Island,"{'lon': 143.40556, 'lat': -9.751593}",OKR,AU
5268,Asia/Manila,Legaspi,"{'lon': 123.7302, 'lat': 13.15213}",LGP,PH
5269,Asia/Kolkata,Vidyanagar,,VDY,IN
5270,America/New_York,Old Town,"{'lon': -68.65, 'lat': 44.933334}",OLD,US
5271,America/Sao_Paulo,Maringa,"{'lon': -51.933334, 'lat': -23.383612}",MGF,BR
5272,America/Nassau,Walker's Cay,"{'lon': -78.4, 'lat': 27.266666}",WKR,BS
5273,Africa/Algiers,Tindouf,"{'lon': -8.166667, 'lat': 27.716667}",TIN,DZ
5274,America/Los_Angeles,Olympia,"{'lon': -122.903336, 'lat': 46.97361}",OLM,US
5275,Pacific/Port_Moresby,Margarima,"{'lon': 143.36667, 'lat': -6.033333}",MGG,PG
5276,Africa/Johannesburg,Margate,"{'lon': 30.25, 'lat': -30.916668}",MGH,ZA
5277,America/Los_Angeles,Astoria,"{'lon': -123.88, 'lat': 46.15972}",AST,US
5278,Africa/Tripoli,Tripoli,"{'lon': 13.187507, 'lat': 32.876174}",TIP,LY
5279,America/New_York,Kissimmee,"{'lon': -81.333336, 'lat': 28.45}",ISM,US
5280,Asia/Yekaterinburg,Nojabrxsk,"{'lon': 75.29459, 'lat': 63.17673}",NOJ,RU
5281,Pacific/Port_Moresby,Manga,"{'lon': 152.96666, 'lat': -4.033333}",MGP,PG
5282,Atlantic/Reykjavik,Borgarfjordur Eystri,"{'lon': -14.5, 'lat': 66.0}",BGJ,IS
5283,Africa/Nouakchott,Tidjikja,"{'lon': -11.416667, 'lat': 18.566668}",TIY,MR
5284,Europe/Warsaw,Katowice,"{'lon': 19.0237815, 'lat': 50.2648919}",KTW,PL
5285,Europe/Paris,Niort,"{'lon': -0.45, 'lat': 46.316666}",NIT,FR
5286,Asia/Shanghai,Guanghua,"{'lon': 111.63333, 'lat': 32.266666}",LHK,CN
5287,Pacific/Port_Moresby,Bambu,"{'lon': 146.48334, 'lat': -5.85}",BCP,PG
5288,Pacific/Port_Moresby,Mesalia,"{'lon': 149.11667, 'lat': -6.133333}",MFZ,PG
5289,Africa/Nairobi,Bamburi,"{'lon': 39.833332, 'lat': -4.5}",BMQ,KE
5290,Pacific/Noumea,Koumac,"{'lon': 164.41667, 'lat': -20.5}",KOC,NC
5291,Africa/Johannesburg,Ladysmith,"{'lon': 29.75, 'lat': -28.566668}",LAY,ZA
5292,Africa/Libreville,Omboue,"{'lon': 9.266667, 'lat': -1.6}",OMB,GA
5293,Asia/Jakarta,Tanjung Warukin,"{'lon': 103.96667, 'lat': -1.4}",TJG,ID
5294,Asia/Kuala_Lumpur,Pangkor,"{'lon': 100.7, 'lat': 4.216667}",PKG,MY
5295,Asia/Yakutsk,Zhigansk,"{'lon': 123.383333, 'lat': 66.766667}",ZIX,RU
5296,Pacific/Efate,Mota Lava,"{'lon': 167.66667, 'lat': -13.666667}",MTV,VU
5297,Europe/London,Newquay,"{'lon': -4.997922, 'lat': 50.43745}",NQY,GB
5298,Europe/Berlin,Norderney,"{'lon': 7.166667, 'lat': 53.833332}",NRD,DE
5299,America/Chicago,Newton,"{'lon': -93.05, 'lat': 41.7}",TNU,US
5300,Pacific/Port_Moresby,Miyanmin,"{'lon': 141.61667, 'lat': -4.9}",MPX,PG
5301,Australia/Perth,Margaret River Station,"{'lon': 126.86667, 'lat': -18.616667}",MGV,AU
5302,Asia/Omsk,Omsk,"{'lon': 73.3167, 'lat': 54.957455}",OMS,RU
5303,America/La_Paz,Uyuni,"{'lon': -66.8484, 'lat': -20.4463}",UYU,BO
5304,America/Chicago,Shangri-la,"{'lon': -99.833336, 'lat': 35.166668}",NRI,US
5305,Pacific/Kiritimati,Tabuaeran,"{'lon': -159.35, 'lat': 3.833333}",TNV,KI
5306,Australia/Brisbane,Noosaville,"{'lon': 153.03334, 'lat': -26.416668}",NSV,AU
5307,America/Chicago,Oneill,"{'lon': -98.65, 'lat': 42.45}",ONL,US
5308,Europe/London,North Ronaldsay,"{'lon': -2.433333, 'lat': 59.370277}",NRL,GB
5309,America/Tortola,Tortola,"{'lon': -64.6332782, 'lat': 18.4334704}",TOV,VG
5310,Australia/Perth,Belburn,"{'lon': 128.30779, 'lat': -17.545555}",BXF,AU
5311,Australia/Brisbane,Monkira,"{'lon': 140.56667, 'lat': -24.816668}",ONR,AU
5312,Atlantic/Azores,Ponta Delgada (Azores),"{'lon': -25.696468, 'lat': 37.743847}",PDL,PT
5313,America/Los_Angeles,Shafter,"{'lon': -119.26667, 'lat': 35.5}",MIT,US
5314,America/Sao_Paulo,Belo Horizonte,"{'lon': -43.9385747, 'lat': -19.9190677}",BHZ,BR
5315,Pacific/Tarawa,Onotoa,"{'lon': 175.56667, 'lat': -1.916667}",OOT,KI
5316,Europe/Mariehamn,Mariehamn,"{'lon': 19.896667, 'lat': 60.123333}",MHQ,AX
5317,Asia/Shanghai,Zhongwei,"{'lon': 105.15253, 'lat': 37.568935}",ZHY,CN
5318,Europe/London,Norwich,"{'lon': 1.276782, 'lat': 52.669533}",NWI,GB
5319,America/Puerto_Rico,Roosevelt Roads,"{'lon': -65.638885, 'lat': 18.25}",NRR,PR
5320,Europe/Moscow,Mineralnye Vody,"{'lon': 43.085815, 'lat': 44.218105}",MRV,RU
5321,Pacific/Port_Moresby,Porgera,"{'lon': 143.15, 'lat': -5.416667}",RGE,PG
5322,Asia/Jakarta,Muko-Muko,"{'lon': 101.1, 'lat': -2.55}",MPC,ID
5323,Pacific/Port_Moresby,Nadunumu,"{'lon': 147.68333, 'lat': -9.133333}",NDN,PG
5324,Asia/Kuching,Simanggang,"{'lon': 111.460556, 'lat': 1.222778}",SGG,MY
5325,America/New_York,Hilton Head,"{'lon': -80.683334, 'lat': 32.216667}",HHH,US
5326,America/Bogota,Jurado,"{'lon': -77.75, 'lat': 7.116667}",JUO,CO
5327,Pacific/Port_Moresby,Balimo,"{'lon': 142.93333, 'lat': -8.033333}",OPU,PG
5328,Pacific/Port_Moresby,Moki,"{'lon': 145.25, 'lat': -5.7}",MJJ,PG
5329,Asia/Krasnoyarsk,Noril'sk,"{'lon': 87.339806, 'lat': 69.32312}",NSK,RU
5330,America/Sitka,Lincoln Rock,"{'lon': -68.32, 'lat': -16.12}",LRK,US
5331,Africa/Libreville,Mouila,"{'lon': 10.924167, 'lat': -1.817778}",MJL,GA
5332,Africa/Johannesburg,Thohoyandou,"{'lon': 30.55, 'lat': -22.883333}",THY,ZA
5333,America/Bogota,Rondon,"{'lon': -71.083336, 'lat': 6.3}",RON,CO
5334,America/Santiago,Tocopilla,"{'lon': -70.061386, 'lat': -22.13611}",TOQ,CL
5335,Europe/Berlin,Muenster,"{'lon': 7.6105746, 'lat': 52.0920702}",FMO,DE
5336,Pacific/Port_Moresby,Nuguria,"{'lon': 150.81667, 'lat': -3.466667}",NUG,PG
5337,Africa/Kinshasa,Kinshasa,"{'lon': 15.29866, 'lat': -4.320836}",FIH,CD
5338,Pacific/Tahiti,Tatakoto,"{'lon': -138.33333, 'lat': -17.283333}",TKV,PF
5339,America/Detroit,Muskegon,"{'lon': -86.2375, 'lat': 43.170555}",MKG,US
5340,America/Chicago,Broken Bow,"{'lon': -99.63333, 'lat': 41.4}",BBW,US
5341,Asia/Tehran,Nojeh,"{'lon': 48.666668, 'lat': 35.2}",NUJ,IR
5342,America/Manaus,Borba,"{'lon': -59.583332, 'lat': -4.4}",RBB,BR
5343,America/Anchorage,Nulato,"{'lon': -158.07666, 'lat': 64.727776}",NUL,US
5344,Africa/Ouagadougou,Gaoua,"{'lon': -3.183333, 'lat': 10.333333}",XGA,BF
5345,Asia/Yakutsk,Suntar,"{'lon': 117.633333, 'lat': 62.166667}",SUY,RU
5346,Pacific/Efate,Norsup,"{'lon': 167.4, 'lat': -16.058332}",NUS,VU
5347,Africa/Johannesburg,Skukuza,"{'lon': 31.586111, 'lat': -24.9625}",SZK,ZA
5348,Pacific/Efate,Olpoi,"{'lon': 166.56003, 'lat': -14.884605}",OLJ,VU
5349,America/Chicago,Mankato,"{'lon': -93.9993996, 'lat': 44.1635775}",MKT,US
5350,Africa/Addis_Ababa,Mota,"{'lon': 37.88333, 'lat': 11.066667}",OTA,ET
5351,Australia/Perth,Yalgoo,"{'lon': 116.666664, 'lat': -28.35}",YLG,AU
5352,Europe/Stockholm,Orebro,"{'lon': 15.2075395, 'lat': 59.273755}",ORB,SE
5353,Africa/Dar_es_Salaam,Nachingwea,"{'lon': 38.775, 'lat': -10.363889}",NCH,TZ
5354,Asia/Ulaanbaatar,Arvaikheer,"{'lon': 102.78333, 'lat': 46.266666}",AVK,MN
5355,Asia/Yekaterinburg,Novyj Urengoj,"{'lon': 76.522835, 'lat': 66.07335}",NUX,RU
5356,America/Nome,Deering,"{'lon': -162.75989, 'lat': 66.0712}",DRG,US
5357,Asia/Kolkata,Delhi,"{'lon': 77.10079, 'lat': 28.556555}",DEL,IN
5358,America/Mexico_City,Oaxaca,"{'lon': -96.721634, 'lat': 17.000883}",OAX,MX
5359,Pacific/Port_Moresby,Tumolbil,"{'lon': 141.01666, 'lat': -4.783333}",TLP,PG
5360,Australia/Darwin,Mount Cavenagh,"{'lon': 133.25, 'lat': -25.966667}",MKV,AU
5361,America/New_York,Philadelphia,"{'lon': -75.163789, 'lat': 39.952335}",PHL,US
5362,Europe/Warsaw,Lublin,"{'lon': 22.713611, 'lat': 51.240278}",QLU,PL
5363,Europe/Kiev,Odessa,"{'lon': 30.676718, 'lat': 46.44101}",ODS,UA
5364,Australia/Perth,Collie,"{'lon': 116.13333, 'lat': -33.36667}",CIE,AU
5365,Australia/Perth,Tom Price,"{'lon': 117.666664, 'lat': -22.75}",TPR,AU
5366,Asia/Vientiane,Oudomxay,"{'lon': 104.166664, 'lat': 20.583332}",ODY,LA
5367,America/Vancouver,Terrace,"{'lon': -128.57445, 'lat': 54.465557}",YXT,CA
5368,Europe/Moscow,Orel,"{'lon': 36.1, 'lat': 52.983334}",OEL,RU
5369,America/New_York,Athens,"{'lon': -84.6757, 'lat': 35.52303}",MMI,US
5370,Asia/Tokyo,Matsumoto,"{'lon': 137.96666, 'lat': 36.233334}",MMJ,JP
5371,America/Chicago,Terrell,"{'lon': -96.275, 'lat': 32.735832}",TRL,US
5372,Europe/Berlin,Wiesbaden,"{'lon': 8.233333, 'lat': 50.083332}",WIE,DE
5373,America/Nassau,Rum Cay,"{'lon': -74.96667, 'lat': 23.666668}",RCY,BS
